	Estimate	Std. Error	z value	Pr(>|z|)
hs_dde_madj_Log2	0.126636679909187	0.0764304620045522	1.65688753656421	0.0975422146383131
hs_ddt_madj_Log2	0.0189540351492468	0.0757387667994959	0.250255396941226	0.802389847232921
hs_hcb_madj_Log2	-0.0784596665453166	0.0866385116946162	-0.905598041917797	0.365148645580897
hs_pcb118_madj_Log2	-0.15092338342562	0.119967946084642	-1.25803090201392	0.208380580696017
hs_pcb138_madj_Log2	-0.175468127480561	0.107504634197275	-1.63219128915475	0.102639195245415
hs_pcb153_madj_Log2	-0.21797223827882	0.126429599487271	-1.72406018181498	0.084696979332031
hs_pcb170_madj_Log2	-0.345191397239185	0.130487113147791	-2.64540603981496	0.00815929436866274
hs_pcb180_madj_Log2	-0.143835815014022	0.126779933752573	-1.13453139433513	0.256571712539542
hs_sumPCBs5_madj_Log2	-0.383031960850173	0.124726877592696	-3.07096568312236	0.00213367672359951
